species;sex;age;season;weight;total_length;wither_height;neck_size;temperature;hematocrit;health_condition;haemoplasma;anaplasma;tick;microfilaria;trypanosome;babesia;bloodparasite;female_reproductive_status
Cd;F;A;D;7.82;64.5;58.5;20.5;34.65;42;G;1;0;0;1;0;0;1;Female non pregnant non lactating
Cd;M;J;D;5.62;67;48;19;36.7;44;G;1;1;1;0;0;0;0;NA
Cd;F;A;D;7.82;70.5;NA;20.5;NA;50;G;1;1;1;0;0;0;0;Female lactating with a young
Cd;F;A;D;7.44;71;55;NA;NA;39;D;1;0;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;D;10.69;77;61;23;33.7;37;G;1;0;0;0;0;0;0;Pregnant female
Cd;M;J;D;3.12;51;NA;NA;NA;34;G;1;1;0;0;0;0;0;NA
Cd;F;A;D;8.36;69;NA;24.5;35.1;45;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;F;J;D;2.88;48;34;14;33.81;44;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;D;7.68;68.5;NA;26.5;NA;38;G;0;0;0;0;0;1;1;NA
Cd;M;A;W;7.34;64.5;NA;23.5;NA;34;G;1;1;1;1;0;1;1;NA
Cd;M;A;W;7.6;69;53;25;NA;38;G;1;0;0;0;0;0;0;NA
Cd;F;A;W;7.28;67;56.5;22;NA;42;G;1;1;1;0;0;0;0;Female non pregnant non lactating
Cd;M;J;W;4.14;56;42;17.5;35.05;35;G;1;1;1;1;0;0;1;NA
Cd;F;A;W;8.76;74;57;23;NA;39;G;0;0;0;0;0;0;0;Pregnant female
Cd;M;J;W;2.64;44;34;14;32.6;35;G;1;1;0;0;0;1;1;NA
Cd;F;A;W;7.2;67.5;52;NA;NA;42;G;1;1;0;0;0;0;0;Female non pregnant non lactating
Cd;M;A;W;5.14;58;NA;20.5;NA;47;G;1;1;1;0;0;1;1;NA
Cd;F;A;W;NA;66;53;21.5;32.87;39;G;1;1;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;W;9.14;72;51;NA;NA;44;G;1;1;0;0;0;0;0;Pregnant female
Cd;M;J;W;4.68;63;46.5;NA;32.9;46;D;1;0;0;0;0;0;0;NA
Cd;M;A;W;7.62;74;59;NA;NA;33;D;1;1;0;0;0;1;1;NA
Cd;M;A;W;7.06;68;53;NA;NA;42;G;1;1;0;1;0;0;1;NA
Cd;M;A;W;8.28;65;56;24.5;35;42;G;1;0;0;0;0;0;0;NA
Cd;M;A;W;8.56;71.5;55.5;27;NA;45;G;1;0;0;0;0;0;0;NA
Cd;F;A;W;8.48;69;54;23;37.4;39;G;1;1;1;0;0;0;0;Female non pregnant non lactating
Cd;F;A;W;7.5;72;53;27.5;NA;43;G;1;1;1;1;0;0;1;Female non pregnant non lactating
Cd;M;A;W;7.1;64;53.5;24;NA;48;G;1;0;1;0;0;0;0;NA
